,SolN,Fragments,Excess,ObjValNoPen,ObjValWithPen,Assignments
208,209,"['frag_09_c00001', 'frag_16_c00001']","[[6, 6], []]",31026.16073337203,51026.16073337203,"[[(1, 1), (3, 5)], [(7, 2), (1, 3), (2, 4), (4, 6), (5, 7), (6, 8), (3, 9)]]"
209,210,"['frag_09_c00001', 'frag_16_c00001']","[[6, 6], []]",31026.16073337203,51026.16073337203,"[[(1, 1), (3, 5)], [(7, 2), (1, 3), (2, 4), (4, 6), (5, 7), (6, 8), (3, 9)]]"
210,211,"['frag_06_c00001', 'frag_16_c00001']","[[7], []]",41088.79362384026,51088.79362384026,"[[(2, 1), (1, 9)], [(3, 2), (1, 3), (2, 4), (7, 5), (5, 6), (4, 7), (6, 8)]]"
211,212,"['frag_16_c00001', 'frag_06_c00001']","[[], [7]]",41088.79362384026,51088.79362384026,"[[(1, 2), (3, 3), (6, 4), (7, 5), (5, 6), (4, 7), (2, 8)], [(2, 1), (1, 9)]]"
212,213,"['frag_16_c00001', 'frag_06_c00001']","[[], [7]]",41088.79362384026,51088.79362384026,"[[(1, 2), (3, 3), (2, 4), (7, 5), (5, 6), (4, 7), (6, 8)], [(2, 1), (1, 9)]]"
213,214,"['frag_16_c00001', 'frag_05_c00001']","[[], [8]]",41098.43474871939,51098.43474871939,"[[(5, 1), (1, 3), (6, 4), (7, 5), (4, 7), (2, 8), (3, 9)], [(1, 2), (2, 6)]]"
214,215,"['frag_16_c00001', 'frag_05_c00001']","[[], [8]]",41098.43474871939,51098.43474871939,"[[(5, 1), (1, 3), (2, 4), (7, 5), (4, 7), (6, 8), (3, 9)], [(1, 2), (2, 6)]]"
215,216,"['frag_11_c00001', 'frag_16_c00001']","[[7, 6, 8], []]",21124.32639527213,51124.32639527213,"[[(4, 1), (1, 2)], [(3, 3), (2, 4), (1, 5), (4, 6), (5, 7), (6, 8), (7, 9)]]"
216,217,"['frag_11_c00001', 'frag_16_c00001']","[[7, 6, 8], []]",21124.32639527213,51124.32639527213,"[[(5, 1), (1, 2)], [(3, 3), (2, 4), (1, 5), (4, 6), (5, 7), (6, 8), (7, 9)]]"
217,218,"['frag_11_c00001', 'frag_16_c00001']","[[6, 7, 8], []]",21124.32639527216,51124.32639527216,"[[(5, 1), (3, 2)], [(1, 3), (6, 4), (3, 5), (4, 6), (5, 7), (2, 8), (7, 9)]]"
218,219,"['frag_11_c00001', 'frag_16_c00001']","[[6, 7, 8], []]",21124.32639527213,51124.32639527213,"[[(4, 1), (3, 2)], [(1, 3), (6, 4), (3, 5), (4, 6), (5, 7), (2, 8), (7, 9)]]"
219,220,"['frag_11_c00001', 'frag_16_c00001']","[[6, 7, 8], []]",21124.32639527216,51124.32639527216,"[[(4, 1), (3, 2)], [(1, 3), (2, 4), (3, 5), (4, 6), (5, 7), (6, 8), (7, 9)]]"
220,221,"['frag_10_c00001', 'frag_16_c00001']","[[7, 6], []]",31137.084212560265,51137.084212560265,"[[(4, 1), (1, 5)], [(7, 2), (1, 3), (2, 4), (5, 6), (4, 7), (6, 8), (3, 9)]]"
221,222,"['frag_10_c00001', 'frag_16_c00001']","[[7, 6], []]",31221.585775754822,51221.58577575482,"[[(4, 1), (1, 9)], [(1, 2), (3, 3), (2, 4), (7, 5), (4, 6), (5, 7), (6, 8)]]"
222,223,"['frag_10_c00001', 'frag_16_c00001']","[[7, 6], []]",31226.51730357547,51226.51730357547,"[[(1, 2), (4, 6)], [(4, 1), (7, 3), (6, 4), (1, 5), (5, 7), (2, 8), (3, 9)]]"
223,224,"['frag_10_c00001', 'frag_16_c00001']","[[7, 6], []]",31226.51730357547,51226.51730357547,"[[(1, 2), (4, 6)], [(4, 1), (7, 3), (2, 4), (1, 5), (5, 7), (6, 8), (3, 9)]]"
224,225,"['frag_16_c00001', 'frag_05_c00001']","[[], [8]]",41263.66466448171,51263.66466448171,"[[(1, 2), (3, 3), (6, 4), (5, 6), (4, 7), (2, 8), (7, 9)], [(2, 1), (1, 5)]]"
225,226,"['frag_16_c00001', 'frag_05_c00001']","[[], [8]]",41263.66466448171,51263.66466448171,"[[(1, 2), (3, 3), (2, 4), (5, 6), (4, 7), (6, 8), (7, 9)], [(2, 1), (1, 5)]]"
226,227,"['frag_16_c00001', 'frag_06_c00001']","[[], [7]]",41286.60340784391,51286.60340784391,"[[(5, 1), (1, 3), (6, 4), (3, 5), (4, 7), (2, 8), (7, 9)], [(1, 2), (2, 6)]]"
227,228,"['frag_16_c00001', 'frag_06_c00001']","[[], [7]]",41286.60340784391,51286.60340784391,"[[(5, 1), (1, 3), (2, 4), (3, 5), (4, 7), (6, 8), (7, 9)], [(1, 2), (2, 6)]]"
228,229,"['frag_11_c00001', 'frag_16_c00001']","[[6, 7, 8], []]",21301.4177279562,51301.4177279562,"[[(5, 1), (3, 2)], [(1, 3), (6, 4), (7, 5), (4, 6), (5, 7), (2, 8), (3, 9)]]"
229,230,"['frag_11_c00001', 'frag_16_c00001']","[[6, 7, 8], []]",21301.4177279562,51301.4177279562,"[[(4, 1), (3, 2)], [(1, 3), (6, 4), (7, 5), (4, 6), (5, 7), (2, 8), (3, 9)]]"
230,231,"['frag_11_c00001', 'frag_16_c00001']","[[6, 7, 8], []]",21301.4177279562,51301.4177279562,"[[(4, 1), (3, 2)], [(1, 3), (2, 4), (7, 5), (4, 6), (5, 7), (6, 8), (3, 9)]]"
231,232,"['frag_04_c00001', 'frag_16_c00001']","[[], []]",51324.30401028111,51324.30401028111,"[[(1, 1), (2, 5)], [(1, 2), (7, 3), (2, 4), (4, 6), (5, 7), (6, 8), (3, 9)]]"
232,233,"['frag_16_c00001', 'frag_05_c00001']","[[], [8]]",41352.52424445446,51352.52424445446,"[[(1, 2), (7, 3), (6, 4), (3, 5), (5, 6), (4, 7), (2, 8)], [(2, 1), (1, 9)]]"
233,234,"['frag_16_c00001', 'frag_05_c00001']","[[], [8]]",41352.52424445446,51352.52424445446,"[[(1, 2), (7, 3), (2, 4), (3, 5), (5, 6), (4, 7), (6, 8)], [(2, 1), (1, 9)]]"
234,235,"['frag_16_c00001', 'frag_08_c00001']","[[], [6, 7]]",31380.12456929084,51380.12456929084,"[[(7, 2), (1, 3), (2, 4), (5, 6), (4, 7), (6, 8), (3, 9)], [(1, 1), (2, 5)]]"
235,236,"['frag_16_c00001', 'frag_06_c00001']","[[], [7]]",41463.69474052795,51463.69474052795,"[[(5, 1), (1, 3), (6, 4), (7, 5), (4, 7), (2, 8), (3, 9)], [(1, 2), (2, 6)]]"
236,237,"['frag_16_c00001', 'frag_06_c00001']","[[], [7]]",41463.69474052795,51463.69474052795,"[[(5, 1), (1, 3), (2, 4), (7, 5), (4, 7), (6, 8), (3, 9)], [(1, 2), (2, 6)]]"
237,238,"['frag_16_c00001', 'frag_08_c00001']","[[], [6, 7]]",31464.556568446074,51464.556568446074,"[[(1, 2), (3, 3), (2, 4), (7, 5), (4, 6), (5, 7), (6, 8)], [(1, 1), (2, 9)]]"
238,239,"['frag_16_c00001', 'frag_08_c00001']","[[], [6, 7]]",31469.27121784311,51469.27121784311,"[[(4, 1), (7, 3), (6, 4), (1, 5), (5, 7), (2, 8), (3, 9)], [(2, 2), (1, 6)]]"
239,240,"['frag_16_c00001', 'frag_08_c00001']","[[], [6, 7]]",31469.27121784311,51469.27121784311,"[[(4, 1), (7, 3), (2, 4), (1, 5), (5, 7), (6, 8), (3, 9)], [(2, 2), (1, 6)]]"
240,241,"['frag_11_c00001', 'frag_16_c00001']","[[7, 6, 8], []]",21488.714096017968,51488.71409601797,"[[(4, 1), (1, 9)], [(7, 2), (1, 3), (2, 4), (3, 5), (4, 6), (5, 7), (6, 8)]]"
241,242,"['frag_11_c00001', 'frag_16_c00001']","[[7, 6, 8], []]",21488.714096017968,51488.71409601797,"[[(5, 1), (1, 9)], [(7, 2), (3, 3), (2, 4), (1, 5), (4, 6), (5, 7), (6, 8)]]"
242,243,"['frag_11_c00001', 'frag_16_c00001']","[[7, 6, 8], []]",21488.714096017968,51488.71409601797,"[[(5, 1), (1, 9)], [(7, 2), (1, 3), (2, 4), (3, 5), (4, 6), (5, 7), (6, 8)]]"
243,244,"['frag_11_c00001', 'frag_16_c00001']","[[7, 6, 8], []]",21488.714096017968,51488.71409601797,"[[(5, 1), (1, 9)], [(7, 2), (3, 3), (2, 4), (1, 5), (4, 6), (5, 7), (6, 8)]]"
244,245,"['frag_06_c00001', 'frag_16_c00001']","[[7], []]",41640.34208566055,51640.34208566055,"[[(2, 1), (1, 5)], [(1, 2), (3, 3), (2, 4), (5, 6), (4, 7), (6, 8), (7, 9)]]"
245,246,"['frag_04_c00001', 'frag_16_c00001']","[[], []]",51683.56311714664,51683.56311714664,"[[(1, 1), (2, 9)], [(1, 2), (3, 3), (6, 4), (7, 5), (5, 6), (4, 7), (2, 8)]]"
246,247,"['frag_04_c00001', 'frag_16_c00001']","[[], []]",51683.56311714664,51683.56311714664,"[[(1, 1), (2, 9)], [(1, 2), (3, 3), (2, 4), (7, 5), (5, 6), (4, 7), (6, 8)]]"
247,248,"['frag_16_c00001', 'frag_06_c00001']","[[], [7]]",41723.86918825831,51723.86918825831,"[[(1, 2), (7, 3), (6, 4), (3, 5), (5, 6), (4, 7), (2, 8)], [(2, 1), (1, 9)]]"
