,SolN,Fragments,Excess,ObjValNoPen,ObjValWithPen,Assignments
888,889,"['frag_10_c00001', 'frag_15_c00001', 'frag_06_c00001']","[[6, 8], [7, 8], [6]]",9.193745601736872,14.193745601736872,"[[(2, 4), (1, 9)], [(1, 1), (2, 2), (3, 3), (5, 5), (6, 6)], [(2, 7), (3, 8)]]"
889,890,"['frag_15_c00001', 'frag_10_c00001', 'frag_06_c00001']","[[7, 8], [6, 8], [6]]",9.193745601736872,14.193745601736872,"[[(1, 1), (2, 2), (3, 3), (5, 5), (6, 6)], [(2, 4), (1, 9)], [(2, 7), (3, 8)]]"
890,891,"['frag_15_c00001', 'frag_10_c00001', 'frag_06_c00001']","[[7, 8], [6, 8], [6]]",9.193745601736872,14.193745601736872,"[[(1, 1), (2, 2), (3, 3), (5, 5), (6, 6)], [(2, 4), (1, 9)], [(2, 7), (3, 8)]]"
891,892,"['frag_06_c00001', 'frag_10_c00001', 'frag_15_c00001']","[[6], [6, 8], [7, 8]]",9.193745601736872,14.193745601736872,"[[(2, 7), (3, 8)], [(2, 4), (1, 9)], [(1, 1), (2, 2), (3, 3), (5, 5), (6, 6)]]"
892,893,"['frag_06_c00001', 'frag_10_c00001', 'frag_15_c00001']","[[6], [6, 8], [7, 8]]",9.193745601736872,14.193745601736872,"[[(2, 7), (3, 8)], [(2, 4), (1, 9)], [(1, 1), (2, 2), (3, 3), (5, 5), (6, 6)]]"
893,894,"['frag_06_c00001', 'frag_10_c00001', 'frag_15_c00001']","[[6], [6, 8], [7, 8]]",9.193745601736872,14.193745601736872,"[[(2, 7), (3, 8)], [(2, 4), (1, 9)], [(1, 1), (2, 2), (3, 3), (5, 5), (6, 6)]]"
894,895,"['frag_10_c00001', 'frag_15_c00001', 'frag_06_c00001']","[[6, 8], [7, 8], [6]]",9.193745601736872,14.193745601736872,"[[(2, 4), (1, 9)], [(1, 1), (2, 2), (3, 3), (5, 5), (6, 6)], [(2, 7), (3, 8)]]"
895,896,"['frag_06_c00001', 'frag_15_c00001', 'frag_10_c00001']","[[6], [7, 8], [6, 8]]",9.193745601736875,14.193745601736875,"[[(2, 7), (3, 8)], [(1, 1), (2, 2), (3, 3), (5, 5), (6, 6)], [(2, 4), (1, 9)]]"
896,897,"['frag_07_c00001', 'frag_15_c00001', 'frag_06_c00001']","[[6, 7, 7], [6, 8], []]",9.198149146455393,14.198149146455393,"[[(2, 3)], [(1, 1), (2, 2), (4, 4), (5, 5), (6, 6)], [(2, 7), (3, 8), (1, 9)]]"
897,898,"['frag_06_c00001', 'frag_07_c00001', 'frag_15_c00001']","[[], [6, 7, 7], [6, 8]]",9.198149146455393,14.198149146455393,"[[(2, 7), (3, 8), (1, 9)], [(2, 3)], [(1, 1), (2, 2), (4, 4), (5, 5), (6, 6)]]"
898,899,"['frag_06_c00001', 'frag_07_c00001', 'frag_15_c00001']","[[], [6, 7, 7], [6, 8]]",9.198149146455393,14.198149146455393,"[[(2, 7), (3, 8), (1, 9)], [(2, 3)], [(1, 1), (2, 2), (4, 4), (5, 5), (6, 6)]]"
899,900,"['frag_06_c00001', 'frag_07_c00001', 'frag_15_c00001']","[[], [6, 7, 7], [6, 8]]",9.198149146455393,14.198149146455393,"[[(2, 7), (3, 8), (1, 9)], [(2, 3)], [(1, 1), (2, 2), (4, 4), (5, 5), (6, 6)]]"
900,901,"['frag_06_c00001', 'frag_15_c00001', 'frag_07_c00001']","[[], [6, 8], [6, 7, 7]]",9.198149146455393,14.198149146455393,"[[(2, 7), (3, 8), (1, 9)], [(1, 1), (2, 2), (4, 4), (5, 5), (6, 6)], [(2, 3)]]"
901,902,"['frag_15_c00001', 'frag_07_c00001', 'frag_06_c00001']","[[6, 8], [6, 7, 7], []]",9.198149146455396,14.198149146455396,"[[(1, 1), (2, 2), (4, 4), (5, 5), (6, 6)], [(2, 3)], [(2, 7), (3, 8), (1, 9)]]"
902,903,"['frag_15_c00001', 'frag_07_c00001', 'frag_06_c00001']","[[6, 8], [6, 7, 7], []]",9.198149146455396,14.198149146455396,"[[(1, 1), (2, 2), (4, 4), (5, 5), (6, 6)], [(2, 3)], [(2, 7), (3, 8), (1, 9)]]"
903,904,"['frag_07_c00001', 'frag_15_c00001', 'frag_06_c00001']","[[6, 7, 7], [6, 8], []]",9.198149146455396,14.198149146455396,"[[(2, 3)], [(1, 1), (2, 2), (4, 4), (5, 5), (6, 6)], [(2, 7), (3, 8), (1, 9)]]"
