,Fragments,ObjValNoPen,ObjValWithPen
555,"['frag_01_c00001', 'frag_02_c00001', 'frag_02_c00001', 'frag_08_c00001']",52211.77304421785,52211.77304421785
556,"['frag_01_c00001', 'frag_02_c00001', 'frag_02_c00001', 'frag_08_c00001']",52211.77304421785,52211.77304421785
557,"['frag_01_c00001', 'frag_02_c00001', 'frag_02_c00001', 'frag_08_c00001']",52211.77304421785,52211.77304421785
558,"['frag_03_c00001', 'frag_06_c00001', 'frag_08_c00001']",52320.51103252959,52211.77304421785
559,"['frag_03_c00001', 'frag_06_c00001', 'frag_08_c00001']",52320.51103252959,52320.51103252959
560,"['frag_03_c00001', 'frag_06_c00001', 'frag_08_c00001']",52320.511032529605,52320.51103252959
561,"['frag_03_c00001', 'frag_06_c00001', 'frag_08_c00001']",52320.511032529605,52320.511032529605
562,"['frag_03_c00001', 'frag_06_c00001', 'frag_08_c00001']",52320.511032529605,52320.511032529605
563,"['frag_03_c00001', 'frag_06_c00001', 'frag_08_c00001']",52320.511032529605,52320.511032529605
564,"['frag_03_c00001', 'frag_06_c00001', 'frag_08_c00001']",52320.511032529605,52320.511032529605
565,"['frag_03_c00001', 'frag_06_c00001', 'frag_08_c00001']",52320.511032529605,52320.511032529605
566,"['frag_01_c00001', 'frag_09_c00001', 'frag_10_c00001']",52369.99864975118,52320.511032529605
567,"['frag_01_c00001', 'frag_09_c00001', 'frag_10_c00001']",52369.99864975118,52369.99864975118
568,"['frag_01_c00001', 'frag_09_c00001', 'frag_10_c00001']",52369.99864975118,52369.99864975118
569,"['frag_01_c00001', 'frag_09_c00001', 'frag_10_c00001']",52369.99864975118,52369.99864975118
570,"['frag_01_c00001', 'frag_09_c00001', 'frag_10_c00001']",52369.99864975119,52369.99864975118
571,"['frag_01_c00001', 'frag_09_c00001', 'frag_10_c00001']",52369.99864975119,52369.99864975119
572,"['frag_01_c00001', 'frag_09_c00001', 'frag_10_c00001']",52369.99864975119,52369.99864975119
573,"['frag_01_c00001', 'frag_09_c00001', 'frag_10_c00001']",52369.99864975119,52369.99864975119
574,"['frag_03_c00001', 'frag_03_c00001', 'frag_15_c00001']",72577.69965137457,52369.99864975119
575,"['frag_03_c00001', 'frag_03_c00001', 'frag_15_c00001']",72577.69965137457,52577.699651374576
